Iteration, Loss, bcs, res, Time, l2
0, 709038.25, 17.348079681396484, 709020.625, 1.4441840648651123, 12.607199044145244
100, 392.5408630371094, 13.596589088439941, 378.7178039550781, 3.0841128826141357, 7.891921247873525
200, 106.22711944580078, 12.919808387756348, 93.08110046386719, 4.574549674987793, 7.765678800686198
300, 43.57527542114258, 12.564249992370605, 30.7850341796875, 6.038032054901123, 7.699870571323716
400, 24.04562759399414, 12.185579299926758, 11.634271621704102, 7.490071535110474, 7.648984316470874
500, 92.31462860107422, 11.813594818115234, 80.27545928955078, 8.957362413406372, 7.614068520072177
600, 15.499703407287598, 11.46240520477295, 3.8119213581085205, 10.387238264083862, 7.598523474618623
700, 13.951104164123535, 11.13857364654541, 2.5873489379882812, 11.810218572616577, 7.590670084174234
800, 13.14465618133545, 10.823461532592773, 2.0962090492248535, 13.215622663497925, 7.5640850465118685
900, 12.082796096801758, 10.518689155578613, 1.3393163681030273, 14.597866773605347, 7.557236444946361
1000, 11.441411972045898, 10.215699195861816, 1.0011190176010132, 16.025007009506226, 7.549474877546706
1100, 10.876077651977539, 9.900344848632812, 0.7513364553451538, 17.491840362548828, 7.526233603912656
1200, 10.376943588256836, 9.597457885742188, 0.5552858114242554, 18.883471250534058, 7.516730469870997
1300, 10.031990051269531, 9.277042388916016, 0.530936598777771, 20.29515242576599, 7.492817976817081
1400, 9.489900588989258, 8.947638511657715, 0.3184427320957184, 21.75027847290039, 7.481594654781854
1500, 12.901078224182129, 8.627180099487305, 4.0502777099609375, 23.18928813934326, 7.455430344382112
1600, 8.72435188293457, 8.305173873901367, 0.19576068222522736, 24.56717848777771, 7.442341864462085
1700, 18.06892967224121, 8.004667282104492, 9.841049194335938, 25.916103839874268, 7.433589737437075
1800, 8.026012420654297, 7.6671576499938965, 0.1358497440814972, 27.304464101791382, 7.403775229849642
1900, 8.093194961547852, 7.338374614715576, 0.5320257544517517, 28.738322973251343, 7.372463608306391
2000, 8.132713317871094, 7.0104875564575195, 0.8996438980102539, 30.134440422058105, 7.360020511146869
2100, 29.87929916381836, 6.710317134857178, 22.946613311767578, 31.570812940597534, 7.338878540994831
2200, 6.6532392501831055, 6.402442455291748, 0.028646329417824745, 33.255555629730225, 7.314130021119438
2300, 6.441377639770508, 6.154978275299072, 0.0644681304693222, 35.01988410949707, 7.302204808088422
2400, 6.1761860847473145, 5.894961357116699, 0.05951341241598129, 36.773743629455566, 7.27119260516903
2500, 5.911745071411133, 5.674618721008301, 0.0156403798609972, 38.52791142463684, 7.260833007825756
2600, 6.047854423522949, 5.453619480133057, 0.37297093868255615, 40.76957297325134, 7.236548653148681
2700, 5.486177444458008, 5.252898216247559, 0.01224482525140047, 43.26274871826172, 7.227351073610964
2800, 5.893764972686768, 5.051437854766846, 0.6215183138847351, 45.58760070800781, 7.19824950684239
2900, 5.093443393707275, 4.860466003417969, 0.012401502579450607, 47.929219007492065, 7.189554090863675
3000, 5.139443397521973, 4.681114196777344, 0.23798832297325134, 51.09491205215454, 7.18094918556619
3100, 4.782344818115234, 4.539466381072998, 0.022763652727007866, 53.57660174369812, 7.146785247594736
3200, 5.461893081665039, 4.3604021072387695, 0.8816127777099609, 55.80006670951843, 7.136906527653637
3300, 30.482376098632812, 4.168236255645752, 26.094493865966797, 58.278849840164185, 7.114720399167468
3400, 8.0602445602417, 4.025325298309326, 3.815509796142578, 60.57232213020325, 7.103068590495397
3500, 4.837825775146484, 3.902859687805176, 0.7157847285270691, 63.119235038757324, 7.061494925260201
3600, 4.0814948081970215, 3.733798027038574, 0.1287626475095749, 65.60010719299316, 7.054096270023514
3700, 3.851118564605713, 3.590345859527588, 0.042088333517313004, 68.1134512424469, 7.040809004349981
3800, 3.7295191287994385, 3.4855055809020996, 0.02557656727731228, 70.75004625320435, 7.028630723744184
3900, 3.652026653289795, 3.3940982818603516, 0.03973095491528511, 73.22513437271118, 6.990587616411498
4000, 3.4755427837371826, 3.244398355484009, 0.013198759406805038, 75.66200113296509, 6.983577495109265
