Iteration, Loss, bcs, res, Time, l2
0, 2.1495115756988525, 0.1701916754245758, 1.2737147808074951, 0.7056050300598145, 2.8470394611358643, 1.1356760263442993
10, 0.3319633901119232, 0.1184617131948471, 0.20901727676391602, 0.004484403878450394, 24.415117502212524, 0.6800601482391357
20, 0.30067700147628784, 0.11257729679346085, 0.1793714165687561, 0.008728277869522572, 46.05703783035278, 0.5824024677276611
30, 0.28128835558891296, 0.12782007455825806, 0.15027332305908203, 0.0031949637923389673, 68.10990190505981, 0.49918389320373535
40, 0.2641677260398865, 0.1190449595451355, 0.1403227001428604, 0.004800077062100172, 89.49676609039307, 0.48396024107933044
50, 0.25163447856903076, 0.10502555966377258, 0.14122790098190308, 0.005381023045629263, 110.92076539993286, 0.48095691204071045
60, 0.22869260609149933, 0.07957389950752258, 0.12752805650234222, 0.02159065566956997, 131.95601963996887, 0.4710145592689514
70, 0.2076166868209839, 0.0770011842250824, 0.11822991818189621, 0.01238558255136013, 152.6767418384552, 0.46155548095703125
80, 0.1886724829673767, 0.06704816222190857, 0.10753340274095535, 0.014090928249061108, 173.7885513305664, 0.4510553479194641
90, 0.16951042413711548, 0.062447868287563324, 0.09420999884605408, 0.012852548621594906, 194.81452798843384, 0.43120211362838745
100, 0.15371501445770264, 0.052558932453393936, 0.09396367520093918, 0.007192407734692097, 215.8694064617157, 0.3996795117855072
110, 0.14485976099967957, 0.048507314175367355, 0.09328657388687134, 0.0030658692121505737, 236.67616033554077, 0.37353333830833435
120, 0.14069496095180511, 0.04700815677642822, 0.0911591500043869, 0.0025276546366512775, 257.63677072525024, 0.35822823643684387
130, 0.13796404004096985, 0.04591112583875656, 0.09033240377902985, 0.0017205009935423732, 277.88023805618286, 0.35355344414711
140, 0.13635358214378357, 0.04570741206407547, 0.08759219199419022, 0.0030539794825017452, 298.7302644252777, 0.3498355746269226
150, 0.1343507617712021, 0.04420490935444832, 0.08776220679283142, 0.002383640967309475, 319.78920245170593, 0.3484994173049927
160, 0.1321258395910263, 0.04436584189534187, 0.0865754634141922, 0.0011845355620607734, 341.0240614414215, 0.344011127948761
170, 0.1303728222846985, 0.04438690096139908, 0.08485844731330872, 0.0011274825083091855, 362.1844780445099, 0.33816730976104736
180, 0.12984216213226318, 0.04444074630737305, 0.0845862478017807, 0.000815173436421901, 382.9038624763489, 0.33259838819503784
190, 0.12918466329574585, 0.04343658313155174, 0.0847947746515274, 0.0009533032425679266, 403.6777877807617, 0.3247521221637726
200, 0.1286376714706421, 0.04297412186861038, 0.08466676622629166, 0.0009967850055545568, 424.72074794769287, 0.3155980706214905
210, 0.12773427367210388, 0.04084444418549538, 0.08537580072879791, 0.0015140342293307185, 445.75026965141296, 0.30411621928215027
220, 0.1270778477191925, 0.03947187960147858, 0.08559957891702652, 0.0020063994452357292, 467.30286622047424, 0.30109739303588867
230, 0.12621378898620605, 0.03813137114048004, 0.08653542399406433, 0.0015469854697585106, 488.47660970687866, 0.29246610403060913
