Iteration, Loss, bcs, res, Time, l2
0, 0.8836609125137329, 0.04767366126179695, 0.792220950126648, 0.043766334652900696, 2.421785593032837, 1.1141833066940308
10, 0.3825584650039673, 0.08840087056159973, 0.2900317311286926, 0.0041258679702878, 9.427890300750732, 0.7411758303642273
20, 0.3282065987586975, 0.10395516455173492, 0.2199077606201172, 0.004343666601926088, 16.889443397521973, 0.5982922315597534
30, 0.3078218698501587, 0.12022744119167328, 0.18209850788116455, 0.005495905410498381, 24.060692071914673, 0.5459809899330139
40, 0.2923926115036011, 0.12753897905349731, 0.16127288341522217, 0.003580748336389661, 31.54012393951416, 0.5097962617874146
50, 0.2847966253757477, 0.12656323611736298, 0.14732210338115692, 0.010911288671195507, 38.86186718940735, 0.486596018075943
60, 0.2760554552078247, 0.1192164421081543, 0.15499082207679749, 0.0018481857841834426, 46.38434314727783, 0.4591033160686493
70, 0.2707529067993164, 0.12233258783817291, 0.1456824541091919, 0.0027378809172660112, 53.860031604766846, 0.4442838728427887
80, 0.2635348439216614, 0.11666403710842133, 0.14506694674491882, 0.0018038519192487001, 61.427780866622925, 0.4188184440135956
90, 0.25421541929244995, 0.10944733023643494, 0.13312757015228271, 0.011640536598861217, 68.8569962978363, 0.4059903621673584
100, 0.2377326637506485, 0.09999729692935944, 0.12589821219444275, 0.011837159283459187, 75.70257544517517, 0.4026634693145752
110, 0.22119846940040588, 0.0950629934668541, 0.11667248606681824, 0.009462998248636723, 82.47702860832214, 0.39760488271713257
120, 0.20295646786689758, 0.08331020921468735, 0.10781504958868027, 0.011831201612949371, 89.43520760536194, 0.3928581178188324
130, 0.18900415301322937, 0.06973117589950562, 0.11175111681222916, 0.007521860301494598, 96.32431936264038, 0.3886163532733917
140, 0.1822911649942398, 0.07068690657615662, 0.10392280668020248, 0.007681451737880707, 103.29348421096802, 0.38329532742500305
150, 0.17353175580501556, 0.06727222353219986, 0.1002950593829155, 0.005964475683867931, 110.21379780769348, 0.37687402963638306
160, 0.166301891207695, 0.060142528265714645, 0.10192681103944778, 0.0042325458489358425, 117.03531908988953, 0.36823570728302
170, 0.16172213852405548, 0.05929136276245117, 0.09797347337007523, 0.004457298666238785, 124.18768119812012, 0.356219083070755
180, 0.15763796865940094, 0.05826207995414734, 0.09709016978740692, 0.002285722643136978, 131.05913758277893, 0.3391532599925995
190, 0.1524205058813095, 0.05450216680765152, 0.09487330168485641, 0.00304503389634192, 138.0584592819214, 0.33518412709236145
200, 0.1494005024433136, 0.0523458868265152, 0.09410981088876724, 0.002944800304248929, 145.07933616638184, 0.3200121521949768
210, 0.14642015099525452, 0.051749490201473236, 0.09215276688337326, 0.0025178969372063875, 151.9289128780365, 0.3102269768714905
220, 0.14386391639709473, 0.05296492576599121, 0.08797872066497803, 0.0029202711302787066, 158.87004852294922, 0.29722073674201965
230, 0.13929131627082825, 0.04906788840889931, 0.08797825127840042, 0.002245178446173668, 165.75538277626038, 0.2793724536895752
240, 0.1353629231452942, 0.049367159605026245, 0.08387908339500427, 0.002116686897352338, 172.84751677513123, 0.26616135239601135
250, 0.13464272022247314, 0.048828382045030594, 0.08379808813333511, 0.002016246784478426, 179.76670050621033, 0.24974994361400604
260, 0.13360612094402313, 0.04808880761265755, 0.08266715705394745, 0.0028501551132649183, 186.7352192401886, 0.24584795534610748
270, 0.13264961540699005, 0.04829682409763336, 0.08224868029356003, 0.0021041100844740868, 196.90196108818054, 0.2337605059146881
280, 0.1318061351776123, 0.04766057804226875, 0.08218013495206833, 0.0019654231145977974, 206.9941132068634, 0.2223859429359436
